id	sentence	category
08vCWSixKguCxbN8Noel	സൂചികൊണ്ടെടുക്കേണ്ടത് തൂമ്പ കൊണ്ടെടുക്കരുത്.	proverb
0RUQfytlKJx3E0rM2hwM	ഓണം വരാനൊരു മൂലം വേണം.	proverb
0l1rvmmCWc8YPDoRU1DS	ഇല്ലംനിറ വല്ലം നിറ പെട്ടി നിറ പത്തായം നിറ.	proverb
1N4JVZwEYimlYUsRV6j7	തേനൊഴിച്ചു വളർത്തിയാലും കാഞ്ഞിരം കയ്ക്കും.	proverb
1VcEKd1i1cMVoagQGucH	അണ്ണാൻ കുഞ്ഞും തന്നാലായത്.	proverb
1iOh0HyHqHvssHEcZ3pk	കുംഭത്തിൽ മഴ പെയ്താൽ കുപ്പയിലും മാണിക്യം.	proverb
250PCDTBotWhRLUsBvou	മുളയിലറിയാം വിള.	proverb
2DZmq3g7aq2fV8eA0Rzw	ഐകമത്യം മഹാബലം.	default
2J9ZPxFLs33rAO6RNuTK	കുരുത്തക്കേടു് കുന്നിക്കുരുവോളം മതി.	proverb
2gV6uvB92hHCSuVBaKOD	ഐക്യമത്യം മഹാബലം.	proverb
2hkQEfpIiHauS7txxAH7	പാണ്ടൻ നായുടെ പല്ലിനു ശൗര്യം പണ്ടേപോല ഫലിയ്‌ക്കുന്നില്ല.	proverb
3AP3GfbDMTRYX3k2me9z	ക്ഷീരമുള്ളോരകിടിൻ ചുവട്ടിലും ചോരതന്നെ കൊതുകിന്നു കൌതുകം.	proverb
4Gp2fBe40QWF0avwbOYY	പൂച്ചയ്ക്കെന്ത് പൊന്നുരുക്കുന്നിടത്ത് കാര്യം?	proverb
4lfICTaD7sIhDnvDj2Cw	ചെമ്മീൻ തുള്ളിയാൽ മുട്ടോളം പിന്നെയും തുള്ളിയാൽ ചട്ടീല്.	proverb
4rIaKO0jatDBHYo7mxF6	പുര കത്തുമ്പോൾ വാഴവെട്ടുക.	proverb
4zAPfOf8fB8NNIfAmhHz	അത്താഴം മുടക്കാൻ നീർക്കോലി മതി.	proverb
53LE9U5cJYbDQx8lqKxo	ഓടുന്ന പട്ടിയ്ക്കു ഒരു മുഴം മുമ്പേ.	proverb
5FiRVyH58OhlpIak6NCX	അണ്ണാൻ മൂത്താലും മരം കേറ്റം മറക്കുമോ?	proverb
62diFe8JTsfzIvHuPvDK	ഇരിക്കേണ്ടവൻ ഇരിക്കേണ്ടിടത്തിരുന്നില്ലെങ്കിൽ അവിടെ പട്ടി കയറി ഇരിക്കും.	proverb
64X9NoKgt34aed0ojMbK	എല്ലാരും‌ തേങ്ങ ഉടയ്ക്കുമ്പോൾ ഞാനൊരു ചിരട്ടയെങ്കിലും ഉടയ്ക്കണ്ടേ?	proverb
6UbzLaqqWSExBW6IV71S	കൊക്കെത്ര കുളം കണ്ടതാ?	proverb
6gMZfsFUrRUEPZGORBYM	പഴുത്ത പ്ലാവില വീഴുമ്പോൾ പച്ച പ്ലാവില ചിരിക്കേണ്ട.	proverb
6warY02cRQVo7s8hBkOZ	തീയില്ലാതെ പുകയില്ല.	proverb
6yTC5qXbJeApVJSjQSlQ	അരിമണിയൊന്ന് കൊറിക്കാനില്ല കരിവളയിട്ട്‌ കിലുക്കാൻ മോഹം.	proverb
7dkrYurOslwMIrZ8Vyt4	ഉണ്ണിയെ കണ്ടാൽ അറിയാം ഊരിലെ പഞ്ഞം.	proverb
7uIlR6WeXojNq1pL70cO	ഇരുന്നിട്ട് വേണം കാൽ നീട്ടാൻ.	proverb
9IaggbAWAiecX7HfNPXZ	ശത്രുവിന്റെ ശത്രു മിത്രം.	proverb
9LTHRMzJGva8LKfew0xg	ഉപ്പോളം പോരുമോ ഉപ്പിലിട്ടത്?	proverb
9ryZPvZw8IEXin5MNAG0	ഉണ്ട ചോറിനു നന്ദി കാട്ടണം.	proverb
9vHDYPhSNXyGfWn7WFtL	വേണമെങ്കിൽ ചക്ക വേരിലും കായ്ക്കും.	proverb
AGsexxB6MbmehwH4KTIX	തലയിലെഴുത്ത് തലോടിയാൽ പോകുമോ?	proverb
Apxe5zswIYHjLGlqh7u2	ഒരുമയുണ്ടെങ്കിൽ ഉലക്കമേലും കിടക്കാം.	proverb
AvNhebK4dxSvkqjUSn1b	താഴ്ന്ന നിലത്തേ നീരോടൂ.	proverb
BiPTF8qKnbpPQuKAfykI	ഉള്ളതുകൊണ്ടു ഓണം പോലെ.	proverb
BlNdAJfLGlj1m4Mh65yz	നിത്യഭ്യാസി ആനയെ എടുക്കും.	default
BnW9pUgzzzR37CwwakQE	തീയിൽ കുരുത്തത് വെയിലത്തു വാടുമോ?	proverb
Bzuwd6H9Do89tYbQdvm9	ഉള്ളതു പറഞ്ഞാൽ ഉറിയും ചിരിക്കും.	proverb
C40L29CTWv9roVNYtuNe	പറച്ചിൽ നിർത്തി പയറ്റി നോക്കണം.	proverb
C6IffTB9j05IW13AfEPh	നടുക്കടലിലും നായ നക്കിയേ കുടിക്കൂ.	proverb
CfbNRQ7s3vsagHOqtjF9	കുന്നാണെങ്കിലും കുഴിച്ചാൽ കുഴിയും	proverb
Cs0z0n23s2QF8TLryULR	ആറ്റിൽ കളഞ്ഞാലും അളന്ന് കളയണം.	proverb
DPqYsxpzpMkDazuNN8y4	കാക്കയുടെ വിശപ്പും മാറും പശുവിന്റെ കടിയും മാറും.	proverb
DbSMDtFmnAj1jCMGYb8b	വിത്താഴം ചെന്നാൽ പത്തായം നിറയും.	proverb
DsjiwhtCLdVGtE4i1223	പട പേടിച്ച് പന്തളത്ത് പോയപ്പോൾ അവിടെ പന്തം കൊളുത്തി പട.	proverb
DwVp4uS32kptJ3nUG1iU	ആടറിയുമോ അങ്ങാടിവാണിഭം?	proverb
F1NGwliTE5CJMLBJXKO4	നവര വിതച്ചാൽ തുവര കായ്ക്കുമോ?	proverb
FDkMa3GiBvhgJiXSy0ID	സമ്പത്ത് കാലത്ത് തൈപത്ത് വച്ചാൽ ആപത്ത് കാലത്ത് കാ പത്തു തിന്നാം.	proverb
FcSWgUhCa6k19SkCwzQN	ചൂടുവെള്ളത്തിൽ വീണ പൂച്ചക്ക് പച്ചവെള്ളം കണ്ടാലും പേടി	default
FhN2aPI4l2JN34zX1LxD	അമ്മയ്ക്കു പ്രാണവേദന മകൾക്കു വീണവായന.	proverb
G1O0yAHJ5ZfxPmZzqdzv	അണ്ണാനെ മരം കയറ്റം പഠിപ്പിക്കണോ?	proverb
G9yBzDnhG6AUh9jHkArN	മുതലക്കുഞ്ഞിനെ നീന്തൽ പഠിപ്പിക്കേണ്ട.	proverb
Gdz3YnrdBR07Wy6NbbV0	നിറകുടം തുളുമ്പില്ല.	proverb
